t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,0.0,1.0,1.0,1.0,3.9736333935709823e-22,2.6819866765575173e-09,-0.0,6.581524136483695e-11,-4.333380338967673e-24,0.0,0.0,0.0,0.0,5.2620578594058494e-08,-7.796268718186268e-21,0.0,4.033238690469748e-15,0.0007483815639456578,-9.588001074491313e-22,1.7166970814321216,1.716802918567878,1.7168029185678784,1.716697081432122,3.154074320532755e-05,-1.2466401021652859e-17,0.0,0.012591026775479667,-1.743923564339579e-14,0.0
0.02,6.701789656687789e-11,1.0,1.0,0.9999999999999856,2.5661717205805828e-17,1.7010541571072096e-07,-1.0151736057578217e-23,1.6727605602289126e-08,-1.1210489420657399e-18,0.0,2.992509967726121e-14,5.1851567309553916e-05,-1.2745527258353542e-20,3.3374682562444904e-06,-5.034828915779661e-16,0.0,1.2000709078375993e-11,0.005036698878048917,-6.46195548029575e-18,1.7163938516061046,1.7171061483923966,1.7171061483940946,1.7163938516078017,0.0004986097153907431,-2.008993324351496e-13,0.0,0.0494596743688625,-7.009295309950673e-11,0.0
0.04,2.1274260402326227e-09,1.0,1.0,0.9999999999990962,6.441591168823214e-15,1.3445133810112161e-06,-8.566881059673176e-21,2.650733808294532e-07,-5.639240129490777e-16,0.0,2.8444595777740014e-12,0.00020102535941888378,-2.680426336857557e-18,2.6379352535511596e-05,-1.2638401873288016e-13,0.0,5.157350921305296e-10,0.009835582095718155,-6.103487784231774e-16,1.716054519290059,1.7174454806494184,1.717445480722355,1.7160545193629946,0.0019624961866136644,-2.5152457973299332e-11,0.0,0.09653571754569248,-4.3738053161000275e-09,0.0
0.06,1.602568007715569e-08,0.9999999999999999,1.0,0.9999999999899511,1.6186914863843225e-13,4.483061774358967e-06,-5.452336313923978e-19,1.3290188803688047e-06,-2.129843139329012e-14,0.0,4.4895737656240136e-11,0.00044378685017189984,-7.667380048709839e-17,8.795767201557457e-05,-3.17587269642974e-12,0.0,5.287788697687538e-09,0.014396383546715567,-1.1332188745410658e-14,1.7157320216520602,1.7177679777381463,1.717767978485955,1.7157320223998633,0.004344468010485863,-4.2031527478744017e-10,0.0,0.14127618674172795,-4.8569223214817724e-08,0.0
0.08,6.698966857445685e-08,0.9999999999999978,1.0,0.9999999999448963,1.585214530986331e-12,1.0497971624716198e-05,-1.0959490051055837e-17,4.159811708399116e-06,-2.7866440767780256e-13,0.0,3.2226376228362417e-10,0.0007754230697722322,-8.720458200733321e-16,0.00020597020331098096,-3.110190910535063e-11,0.0,2.81379647114048e-08,0.01872396234205517,-9.563650192495962e-14,1.7154260143144784,1.7180739824630065,1.7180739864423378,1.7154260182937662,0.007598291036776839,-3.0793987882290747e-09,0.0,0.18372875004095826,-2.6600894210318387e-07,0.0
0.1,2.0279045924049132e-07,0.9999999999999795,1.0,0.9999999997948712,9.263077043342325e-12,2.025481893282804e-05,-1.144648748362216e-16,1.0057471599080205e-05,-2.0395592843757152e-12,0.0,1.4884141465214873e-09,0.0011913178335935426,-5.84147985983158e-15,0.0003973995477066405,-1.8174157174770602e-10,0.0,1.0321825426718298e-07,0.022823137880515345,-5.093350812023713e-13,1.71513615455372,1.718363833666255,1.7183638482636385,1.7151361691508673,0.011678680585661693,-1.4358828992931321e-08,0.0,0.22394068639986414,-9.890242294103107e-07,0.0
0.12,5.005359698248985e-07,0.9999999999998748,1.0,0.9999999994023366,3.904498586711594e-11,3.457349854863073e-05,-7.837574061578859e-16,2.0652676285204373e-05,-1.0337407353895747e-11,0.0,5.187832335820123e-09,0.00168695094748616,-2.7768561258612767e-14,0.0006783320427403777,-7.660626246180054e-10,0.0,2.9816718514655643e-07,0.026698689799875292,-2.008210694107499e-12,1.7148621005601539,1.7186378654809478,1.718637907648619,1.7148621427268982,0.016541293665160797,-5.030762874467508e-08,0.0,0.26195888564608893,-2.8780108591305874e-06,0.0
0.14,1.073106128331432e-06,0.9999999999994242,1.0,0.9999999985295981,1.3136278538464433e-10,5.422918009380303e-05,-3.99582119057733e-15,3.7889024041984186e-05,-4.06589438959736e-11,0.0,1.4875280015567821e-08,0.0022578974118980257,-1.0382105684244919e-13,0.001063976518133835,-2.5773378648673496e-09,0.0,7.294053719427486e-07,0.03035535790702577,-6.4088316616461865e-12,1.7146035105791013,1.718896406461903,1.7188965096168787,1.7146036137311194,0.022142721188523815,-1.4470058543277533e-07,0.0,0.2978298484735827,-7.071605510932878e-06,0.0
0.16,2.0752370249158613e-06,0.9999999999978467,1.0,0.9999999968037385,3.747255094671994e-10,7.995325591375335e-05,-1.638711478732887e-14,6.400566979292637e-05,-1.3282693575910553e-10,0.0,3.695736614434889e-08,0.0028998266243873967,-3.250331932704993e-13,0.0015686828960696031,-7.352114591950481e-09,0.0,1.5789605046602555e-06,0.03379784208718561,-1.748570352317882e-11,1.7143600419684457,1.7191397786302751,1.7191400019330463,1.7143602652631467,0.028440480191437842,-3.6023453587029065e-07,0.0,0.3315996864285502,-1.5351853967919317e-05,0.0
0.18,3.7092614955796128e-06,0.9999999999931207,1.0,0.9999999936792663,9.423477121678477e-10,0.00011243428103867069,-5.685466929153615e-14,0.00010152033166466587,-3.765654572648073e-10,0.0,8.228128752795753e-08,0.003608501580119896,-8.877173256085483e-13,0.002205960635808589,-1.848886258874187e-08,0.0,3.1122591877091213e-06,0.03703080219340112,-4.228011877849125e-11,1.714131350205027,1.719368296464017,1.7193687366136892,1.7141317903351858,0.03539300604877573,-8.031314807354074e-07,0.0,0.3633141218750672,-3.0318852916451364e-05,0.0
