header_seq,header_stamp,header_frame_id,t,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z,acceleration_linear_x,acceleration_linear_y,acceleration_linear_z,acceleration_angular_x,acceleration_angular_y,acceleration_angular_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
45691,456.920999998,world,456.92099999845914,-3.899380640648639e-05,5.166875660360075e-05,1.344478555577326,8.825879938626917e-10,6.643138235352294e-10,0.00019470229772528062,-0.9999999810455075,7.146499217776468e-07,-9.47723997873203e-07,-9.189640750003501e-11,-2.3668546073805105e-10,-1.6019774932442022e-10,7.140188904773334e-06,-1.3025207430559747e-08,1.7311809988605808e-08,3.4644879557783683e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970809635526,1215.097080705604,1215.097073922112,1215.0970738851584"
45692,456.932999998,world,456.9329999984591,-3.8985231545041496e-05,5.165738516186028e-05,1.3444785555762229,8.800962254583343e-10,6.624177351364879e-10,0.00019465946049014484,-0.9999999810538471,7.144937345730781e-07,-9.475164007112728e-07,-9.185485910568038e-11,8.961661003381479e-10,6.672975785314047e-10,7.1388548908350305e-06,-1.29918797886728e-08,1.7268205977831347e-08,3.4594549447356067e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970789629523,1215.097080909652,1215.097074666215,1215.0970749376063"
45693,456.94199999800003,world,456.94199999845904,-3.897880162663048e-05,5.164885821231008e-05,1.3444785555753955,8.763255852695854e-10,6.596065997221455e-10,0.00019462733832308974,-0.9999999810600995,7.143771074423737e-07,-9.473613898848376e-07,-9.182375095258985e-11,6.371376128393966e-10,4.786136093145999e-10,7.137636875612481e-06,-1.293595669069682e-08,1.719313741320682e-08,3.4532376957996704e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970801262354,1215.0970807569533,1215.0970742530194,1215.0970743402154"
45694,456.950999998,world,456.950999998459,-3.897237275604227e-05,5.164033265542591e-05,1.3444785555745697,8.755632329816536e-10,6.589890426675091e-10,0.00019459522199852974,-0.9999999810663498,7.142608200770434e-07,-9.472068302081853e-07,-9.179269964291817e-11,-3.9183401754472926e-10,-2.725921725214807e-10,7.136265520261746e-06,-1.2920250233188904e-08,1.717325014220812e-08,3.4485007442269713e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970809542991,1215.0970806880991,1215.0970739352467,1215.0970738987776"
45695,456.962999998,world,456.96299999845894,-3.8963802556622416e-05,5.162896741021835e-05,1.3444785555734693,8.740177295505226e-10,6.577852687489198e-10,0.00019455240828594877,-0.9999999810746801,7.141058049306372e-07,-9.470007757388167e-07,-9.175136589168166e-11,7.370439935580406e-10,5.496386085769484e-10,7.134937379183797e-06,-1.2900471200189492e-08,1.7148187902877623e-08,3.4413953168679228e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970789524135,1215.097080896057,1215.0970746776193,1215.097074950331"
45696,456.971999998,world,456.9719999984589,-3.895737612604007e-05,5.162044509665335e-05,1.344478555572644,8.709614000278785e-10,6.555061574273717e-10,0.00019452030373802505,-0.9999999810809257,7.139899483921809e-07,-9.468467748972493e-07,-9.172043182156138e-11,4.794078002176644e-10,3.601880137583358e-10,7.133723641967658e-06,-1.2854975821171503e-08,1.7087137486408293e-08,3.435474127402049e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097080113482,1215.097080746213,1215.0970742637899,1215.0970743529344"
45697,456.980999998,world,456.98099999845886,-3.895095073676784e-05,5.1611924167229354e-05,1.3444785555718186,8.708997047516134e-10,6.554183968831013e-10,0.00019448820501361235,-0.999999981087169,7.138743377642512e-07,-9.466931000922572e-07,-9.168955814757369e-11,-5.449935785659376e-10,-3.893157962419754e-10,7.13235644269874e-06,-1.2849665609418356e-08,1.708101625977227e-08,3.426592343196776e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970809397877,1215.0970806798687,1215.0970739454433,1215.0970739113175"
45698,456.992999998,world,456.9929999984588,-3.894238517042223e-05,5.1600565080624404e-05,1.3444785555707182,8.702514034956337e-10,6.549043378615606e-10,0.0001944454147405152,-0.9999999810954903,7.137200811410396e-07,-9.464880368674081e-07,-9.164847871142466e-11,5.918437780387441e-10,4.3697521140516943e-10,7.131033255394132e-06,-1.2843430270715438e-08,1.707359240710705e-08,3.419190856367665e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970789378382,1215.0970808903942,1215.0970746865837,1215.097074961599"
45699,457.001999998,world,457.00199999845876,-3.893596220919901e-05,5.159204737888777e-05,1.3444785555698928,8.678300952789274e-10,6.531208006380304e-10,0.00019441332775299477,-0.9999999811017289,7.136046889093686e-07,-9.463346443355904e-07,-9.161775484353039e-11,3.4271992452636926e-10,2.528215909816944e-10,7.129823124431914e-06,-1.2807677898655275e-08,1.7025040097617366e-08,3.4094208937522042e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970800977027,1215.097080742306,1215.0970742724473,1215.0970743639573"
45700,457.010999998,world,457.0109999984587,-3.892954028549389e-05,5.158353105631116e-05,1.344478555569068,8.683614487021561e-10,6.535012729211733e-10,0.00019438124657298928,-0.9999999811079655,7.134894574459853e-07,-9.461814693344298e-07,-9.158710143779076e-11,-6.716502420308721e-10,-4.899001388987102e-10,7.128459425079401e-06,-1.2811581972400267e-08,1.7030601220540642e-08,3.4034997042863304e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.09708092332,1215.0970806773125,1215.0970739538113,1215.0970739219676"
45701,457.022999998,world,457.02299999845866,-3.892097933528348e-05,5.1572178106039405e-05,1.3444785555679701,8.684358276029546e-10,6.535640383785759e-10,0.00019433847966957666,-0.9999999811162776,7.133355829610131e-07,-9.459769170652956e-07,-9.154630414631973e-11,4.77847747344324e-10,3.4549442246570485e-10,7.127140342852237e-06,-1.28167018445211e-08,1.7037415829829595e-08,3.3987627527136314e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970789227317,1215.097080888852,1215.0970746940222,1215.0970749708042"
45702,457.031999998,world,457.0319999984586,-3.8914559833586295e-05,5.156366500307142e-05,1.3444785555671468,8.665044784065757e-10,6.52174653440514e-10,0.00019430641019340457,-0.9999999811225093,7.132203919326423e-07,-9.458238011297792e-07,-9.151574429537363e-11,2.3906911535270373e-10,1.691916351036525e-10,7.1259332005522434e-06,-1.278871653377078e-08,1.699852533707216e-08,3.3928415632606822e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970800823225,1215.0970807414956,1215.0970742797408,1215.0970743728503"
45703,457.040999998,world,457.0409999984586,-3.890814136789987e-05,5.155515327715091e-05,1.3444785555663235,8.674784193439874e-10,6.529126886627582e-10,0.00019427434651149338,-0.999999981128739,7.131052953094355e-07,-9.456708203870124e-07,-9.148520664888801e-11,-7.646678378626159e-10,-5.65176703807507e-10,7.124572400095289e-06,-1.2799672752371705e-08,1.7012820518152425e-08,3.3916573253675075e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970809080554,1215.097080676953,1215.0970739609259,1215.0970739304742"
45704,457.052999998,world,457.0529999984585,-3.889958502700988e-05,5.154380645367358e-05,1.3444785555652257,8.680750032932172e-10,6.533975378796763e-10,0.00019423160292014624,-0.999999981137042,7.129515084739091e-07,-9.45466413121639e-07,-9.144455472261832e-11,3.967781040284723e-10,2.800651372791765e-10,7.123256649083179e-06,-1.2813117483573807e-08,1.7029937749373937e-08,3.3848479574785214e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970789096668,1215.0970808885331,1215.0970747002843,1215.0970749779224"
45705,457.061999998,world,457.0619999984585,-3.8893168981926645e-05,5.1535297945048374e-05,1.3444785555644023,8.664882770674223e-10,6.522854796052244e-10,0.00019419955091510587,-0.9999999811432672,7.128363218277804e-07,-9.45313329871008e-07,-9.141414260534938e-11,1.6698177665304107e-10,1.1134230147210715e-10,7.122051934888497e-06,-1.2790607253716466e-08,1.699785154142086e-08,3.375077994863061e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097080069427,1215.097080741366,1215.0970742858756,1215.0970743797357"
45706,457.070999998,world,457.07099999845843,-3.8886753973025934e-05,5.152679081343959e-05,1.344478555563579,8.677667107653429e-10,6.532667523740061e-10,0.00019416750469355588,-0.9999999811494901,7.127211836561739e-07,-9.45160324524864e-07,-9.138381427291137e-11,-8.279412137287258e-10,-6.154887448434214e-10,7.120693490053871e-06,-1.2806369946800542e-08,1.701816300546075e-08,3.3661962106577878e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970808955667,1215.0970806768828,1215.0970739668749,1215.0970739370778"
45707,457.082999998,world,457.0829999984584,-3.8878202242111956e-05,5.1515450116491806e-05,1.344478555562483,8.687151437228037e-10,6.540286426413612e-10,0.00019412478436768945,-0.9999999811577839,7.125672799242117e-07,-9.449558069154219e-07,-9.134349511748959e-11,3.427000316093517e-10,2.379389856645066e-10,7.1193803737279975e-06,-1.2825287368145129e-08,1.704222760610372e-08,3.3555380696321396e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970788995396,1215.0970808882053,1215.0970747053466,1215.097074983308"
